UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
100019|RS 941 |Mammillaria|humboldtii||||||||white, soft spines, Gilo, HGO.|Roman Stanik|30.01.2022|||||
100020|MZ 211|Mammillaria|solisioides||||||||(white, big yellow fl.) Petlalzingo,OAX.|Roman Stanik|30.01.2022|||||
100021|RS 624|Turbinicarpus|bonatzii||||||||Santo Domingo, SLP|Roman Stanik|30.01.2022|||||
100022|MZ 039|Turbinicarpus|valdezianus||||||||Saltillo, COAH.|Roman Stanik|30.01.2022|||||
100023|MZ 732|Turbinicarpus|pseudopectinatus||||||||Altamira, TAM.|Roman Stanik|30.01.2022|||||
749070||Obregonia|denegrii||||||||сеянец от Светланы Комиссаровой|D. Demin|20.11.2021|||||
818069||Ariocarpus|retusus||||||||сеянец от Светланы Комиссаровой|D. Demin|18.11.2021|||||
858383||Ariocarpus|kotchoubeanus||||||||сеянец от Светланы Комиссаровой|D. Demin|18.11.2021|||||
810545||Ariocarpus|trigonus||||||||сеянец от Светланы Комиссаровой|D. Demin|18.11.2021|||||
488155||Sulcorebutia|purpurea||||||||сеянец от Светланы Комиссаровой|D. Demin|20.11.2021|||||
104723||Turbinicarpus|macrochele||||||||сеянец от Светланы Комиссаровой|D. Demin|20.11.2021|||||
110877||Turbinicarpus|rioverdensis||||||||сеянец от Светланы Комиссаровой|D. Demin|20.11.2021|||||
555525||Turbinicarpus|schwartzii||||||||сеянец от Светланы Комиссаровой|D. Demin|20.11.2021|||||
872116||Echinocereus|rigidissimus||rubispinus||||||сеянец от Светланы Комиссаровой|Azimchon|23.09.2021|||||
996892||Escobaria|minima||||||||сеянец от Светланы Комиссаровой|Sidenko|08.10.2021|||||
670955||Mammillaria|hutchisoniana||||||||сеянец от Светланы Комиссаровой|Roman Stanik|20.02.2022|||||
198680||Gymnocalycium|||||||||сеянец от Светланы Комиссаровой|Azimchon|18.09.2021|||||
448559||Pseudolithos|cubiformis|||||||||Koehres||||||
839161||Albuca|namaquensis|||||||||Koehres||||||
551388|H.343|Haworthia|pygmaea|cristallina|||||||correcta ex Hosogai|Mikhalcov|28.12.2021|||||
678000||Haworthia|springbokvlakensis|||||||||Mikhalcov|28.12.2021|||||
357569||Gasteria|'Bob Taylor’ x disticha|||||||||Mikhalcov|28.12.2021|||||
734087||Haworthia|herbacea hybr|||||||||Gorbachev|13.01.2022|||||
696699|VVG 35|Haworthia||||||||||Gorbachev|13.01.2022|||||
662078||Haworthia|truncata||Maughanii||||||Japan|Mikhalcov|28.12.2021|||||
129848||Haworthia|H.277 x H.300||||||||(correcta ex Hosogai * springbokvllakensis) x (H.300 var. * springbok)|Mikhalcov|28.12.2021|||||
280405||Haworthia|truncata|||||||||D. Demin|14.11.2021|||||
540964||Haworthia|cooperi v. dielsiana2 X obtusa ‘Purple Dodson’|||||||||Gorbachev|13.01.2022|||||
903616||Haworthia|venusta|||'Shirayuki Emaki’||||||Gorbachev|13.01.2022|||||
877676|JDV90|Haworthia|mutica|||||||||Gorbachev|13.01.2022|||||
451634||Haworthia|H.274 x H.266||||||||(pygmaea * truncata) splendens X (truncata crass * Hakuma)|Mikhalcov|28.12.2021|||||
595128||Haworthia|retusa||mutica|||variegata||||||||||
166892||Lithops|karasmontana |karasmontana |aiaisensis |Orange Ice||||||ZW||||||
660620|C 369A|Lithops|karasmontana |eberlanzii ||Purper||||||ZW||||||
473399||Lithops|hookeri ||dabneri |Annarosa||||||ZW||||||
235996||Lithops|karasmontana |karasmontana |lericheana |Lerichegreen||||||ZW||||||
310944|C 1A|Lithops|lesliei |lesliei |venteri|Ventergreen||||||ZW||||||
410219|C 245|Lithops|pseudotruncatella |dendritica ||Farinosa||||||ZW||||||
890245||Conophytum|burgeri||||||||3802|MSG||||||
349514||Conophytum|burgeri||||||||3803|MSG||||||
604363||Conophytum|chrisocruxum||||||||3804|MSG||||||
950178||Conophytum|hammeri||SE Eksteenfontein||||||3807|MSG||||||
237475|MRO 117|Conophytum|hammeri||||||||3808|MSG||||||
746056|MRO 72|Conophytum|maughanii|latum|||||||3810|MSG||||||
107107|ARM 974|Conophytum|maughanii|maughanii|||||||3811|MSG||||||
536910||Conophytum|pellucidum (pardicolor)||||||||3813|MSG||||||
999980|MRO 126|Conophytum|stephanii|helmutii|||||||3814|MSG||||||
239992|TJ 62|Conophytum|subterraneum||||||||3815|MSG||||||
488427||Dinteranthus|inexpectatus||||||||3821|MSG||||||
327439|SB 1186|Dinteranthus|microspermus|puberulus|||||||3823|MSG||||||
634624||Dinteranthus|vanzylii|||Emerald|||||3825|MSG||||||
610876|MRO 209|Diplosoma|luckhoffii||||||||3826|MSG||||||
952697||Faucaria|tigrina||||||||3838|MSG||||||
433949||Lithops|broomfieldii|||White Nymph|||||3861|MSG||||||
159602||Lithops|dorotheae|||Zorro|||||3864|MSG||||||
988089|Ex C189|Lithops|gracilidelineata|gracilidelineata|waldroniae||||||3873|MSG||||||
645314||Lithops|hallii|||Sakkie's Green|||||3876|MSG||||||
417791||Lithops|lesliei||venteri|Ventergreen|||||3895|MSG||||||
791320|Ex C212|Lithops|meyeri||||||||3897|MSG||||||
118953||Lithops|olivacea|||Pink form|||||3898|MSG||||||
302464|Ex C403|Lithops|olivacea||nebrownii||||||3899|MSG||||||
695692||Lithops|olivacea||nebrownii|Red Olive|||||3900|MSG||||||
540596||Lithops|pseudotruncatella|pseudotruncatella|riehmerae|Green Ivory|||||3903|MSG||||||
208180||Mesembryanthemum|crystallinum||||||||3912|MSG||||||
587298||Monilaria|moniliformis||||||||3913|MSG||||||
286788||Trichodiadema|densum||||||||3933|MSG||||||
924500||Lithops|lesliei|||Fred's Redhorn|||||3940|MSG||||||
801351||Lithops|lesliei|||Bronzino|||||3941|MSG||||||
604139||Lithops|olivacea||nebrownii|Red Olive|||||3942|MSG||||||
853954|Ex C406|Lithops|gesinae||||||||3943|MSG||||||
985868|Ex C272A|Lithops|meyeri|||Hammeruby|||||3944|MSG||||||
752942|Ex C388|Lithops|steineckeana||||||||3947|MSG||||||
279009|MRO 137|Conophytum|angelicae||||||||3949|MSG||||||
203353||Conophytum|brunneum||||||||3953|MSG||||||
514575||Conophytum|calculus||||||||3954|MSG||||||
666110|KNBGX 935|Conophytum|concavum||||||||3956|MSG||||||
941272||Conophytum|chrisocruxum||||||||3957|MSG||||||
777727|EVJ 7839|Conophytum|fulleri||||||||3958|MSG||||||
412167|RR sn|Conophytum|herreanthus|rex|||||||3959|MSG||||||
459578|SB 1130|Conophytum|jucundum|marlothii|||||||3963|MSG||||||
258254||Massonia|‘bredasdorpensis’||||||||3938|MSG||||||
792979|CM 142|Conophytum|freidrichiae ||||||||3806|MSG||||||
789072|MRO 72|Conophytum|maughanii|latum|||||||3810|MSG||||||
994707|Ex C406|Lithops|gesinae||||||||3943|MSG||||||
665638||Lithops|karasmontana|||West of Grunau|||||3441|MSG||||||
825818|Ex C24|Lithops |julii|fulleri|||||||3380|MSG||||||
993351|Ex C378|Lithops |julii |fulleri |||||||3400|MSG||||||
276351|Ex C295|Lithops |karasmontana|bella|||||||3393|MSG||||||
291643|Ex C117|Lithops|aucampiae||||||||3365|MSG||||||
902455|C160|Lithops|verruculosa||glabra||||||1315.501|Schelkunova||||||
817006|C177|Lithops|verruculosa||glabra||||||1315.502|Schelkunova||||||
285310||Pleiospilos|nelii|||Royal Flush||||||Schelkunova||||||
