UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
347663|L14-79|Lithops|karasmontana|||Smokey Peach||||||Uwe Beyer|2021-10-23|None|6|None|Lechuza Pon|Заказ семян от 2021-03-04 22:14
976039|C132B|Lithops|terricolor|||Steamy Windows||||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
635209||Lithops|salicola|||Maculata||GREY||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
878221||Lithops|verruculosa|||Rose Of Texas||||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
117438|C345A|Lithops|terricolor|||Specked Gold||||||V. Nesuta|2021-10-23||6||Lechuza Pon|
474664||Lithops|aucampiae|||Rudesheim Ruby|FIREBRANDT|||||V. Nesuta|2021-10-23|`|6||Lechuza Pon|
215593|C102|Lithops|ruschiorum||nellii|||||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
078337||Escobaria|abdita|||||||||V. Sidenko|2021-11-07|09.10.2021|5||Lechuza Pon|5-80
230193|SB623|Conophytum|obcordellum|||Giftbergense||||||A. Gubinsky||06.09.2020|5|5|Lechuza Pon|
054556|SB1343|Titanopsis|hugo-schlechteri|||||||||A. Mikhaltsov|03.03.2021|12.09.2021||||от С.Комиссаровой
570353|SH379|Ophthalmophyllum|lydiae|||Haramoepense||||||A. Gubinsky||06.09.2020||||
413301||Faucaria|tuberculosa|||||||||Adenium Doma|28.08.2020|12.09.2021||||от С.Комиссаровой
732589|SH588|Lapidaria|margaretae|||||||||A. Goncharova|24.08.2020|12.09.2021||||от С.Комиссаровой
703825||Frithia|pulchra|||||||||Kivuli|20.12.2020|12.09.2021||||от С.Комиссаровой
896935|C238|Lithops|vallis-mariae|||Margarethae||||||V. Nesuta|2021-10-23||6||Seramis|
894658|C281|Lithops|vallis-mariae|||||||||V. Nesuta|2021-10-23||6||Seramis|
719460|C142B|Lithops|hookeri|||||||||V. Nesuta|2021-10-23||6||Земля:Минералка - 1:1|
398448|279|Conophytum|obcordellum||ceresianum|||||||Atomic Plant|2021-11-07|||||
374184|SB1066|Conophytum|longum|||||||||V. Nesuta|2021-11-07|||||
612947|C261|Lithops|gracilidelineata|||||||||V. Nesuta||||||
913724|C394|Lithops|gracilidelineata||brandbergensis|||||||V. Nesuta||||||
344737||Lithops|julii x salicola|||||||||V. Nesuta||||||
245130|C017|Lithops|lesliei||rubrobrunea|||||||V. Nesuta||||||
650190|PV992|Lithops|olivacea|||||||||V. Nesuta||||||
673482||Lithops|schwantesii||rugosa|Shagreen||||||V. Nesuta||||||
024373|C388|Lithops|steineckeana|||||||||V. Nesuta||||||
613163|C167|Lithops|vallis-mariae|||Margarethae||||||V. Nesuta||||||
451794|C054|Lithops|aucampiae|euniceae|fluminalis|||||||V. Nesuta||||||
705937|C368|Lithops|bromfieldii|||||||||V. Nesuta||||||
153732|C341|Lithops|lesliei|||||KIMBERLII||||V. Nesuta||||||
741058|LMP65|Lithops|lesliei|||||KIMBERLII||||V. Nesuta||||||
468539|C306|Lithops|pseudotruncatella||archerae|||||||V. Nesuta||||||
657112|C060|Lithops|vallis-mariae|||||||||V. Nesuta||||||
807943|GF271|Frailea|asterioides|||||||||M. Nikolaev||27.07.2021||||
562292|C281A|Lithops|vallis-mariae|||Walley Girl||||||V. Nesuta||||||
665790|HS121|Sulcorebutia|rauschii|||||||||V. Sidenko|2021-11-07|09.10.2021|5|5|Lechuza Pon|10 50
989344|SB631|Conophytum|lithopsoides|||kennedyi|||||48|Atomic Plant|2021-10-23||6||Pussy-cat Минеральный|
871122||Gymnocalycium|nataliae||||||VG-709|||M. Nikolaev||27.07.2021||||
047591|203.1|Gymnocalycium|nataliae||||||||TOM 0203.1|M. Nikolaev||27.07.2021||||
204802|s14-20|Astrophytum|myriostigma|||Onzuka||||||Mai.baan.taan|2021-11-07|10.08.2021|6|6|Lechuza Pon|
602166|VN824|Mammillaria|perezdelarosae||anderson|||longispina|||Santa Barbara, Gto.|V. Nesuta|2021-11-07|2021-09-13|5|5|Lechuza Pon|
870090|VN900|Obregonia|denegrii||||||||Compuertas, Tam.|V. Nesuta|2021-11-07|2021-09-13|5|5|Lechuza Pon|
723925||Lithops|karasmontana|||||red top||||WalawalaStudio|02.12.2020|||||etsy.com
716519|SB291|Thelocactus|hexaedrophorus|||||||||V. Sidenko|2021-11-07|09.10.2021|5|5|Lechuza Pon|10 30 большой бел цв
186994|VN837|Thelocactus|heterochromus||||||||Rio Nazas II, Dur.|V. Nesuta|2021-11-07|2021-09-13|5|2|Lechuza Pon|
652060|s20-20|Astrophytum|asterias|||Kikko||||||Mai.baan.taan|2021-11-07|10.08.2021|6|6|Lechuza Pon|
959440||Lithops|dorotheae|||||||||WalawalaStudio|02.12.2020|||||etsy.com
027552|s23-10|Astrophytum|asterias||purple|||||||Mai.baan.taan|2021-11-07|10.08.2021|||Lechuza Pon|
160067|C395|Lithops|aucampiae|||Jackson's Jade||||||WalawalaStudio|02.12.2020|||||etsy.com
363718||Fenestraria||||||||||Kivuli|20.12.2020|12.09.2021||||
116872|RUS453|Mammillaria|luethyi|||||||||V. Sidenko|2021-11-07|09.10.2021|5|5|Lechuza Pon|5 150
689176|C350|Lithops|otzeniana|||||||||WalawalaStudio|02.12.2020|||||etsy.com
664234|s7-10|Astrophytum|asterias|||||||||Mai.baan.taan|2021-11-07|10.08.2021|6||Lechuza Pon|
528941|s22-10|Astrophytum|сapricorne|||Buffalo||||||Mai.baan.taan|2021-11-07|10.08.2021|5|5|Lechuza Pon|
207626||Titanopsis|hugo-schlechteri|||||||||A. Mikhaltsov|03.03.2021|12.09.2021||||
164700||Titanopsis|hugo-schlechteri|||||||||A. Mikhaltsov|03.03.2021|12.09.2021||||
131189||Aeonium|kiwi|||||||||G. Aristov||02.07.2020||||Куплен за 500 руб.
559785||Coryphantha|maiz-tablasensis|||||||||K. Avakov||05.09.2021||||Куплен за 200 руб
912804||Haworthia|cooperi truncata|||||||||Y. Piterskaya||12.08.2020||||
445342||Gymnocalycium|prochazkianum|||||||||D. Demin||04.09.2021||||Куплен за 250 руб. на CactusFest
